------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Uniform 1.0092 m spacing, 57 nodes, blended polars (aerodynamics preserved) by uniformize_blade.py
======  Blade Properties =================================================================
         57   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn            BlCrvAC         BlSwpAC          BlCrvAng         BlTwist           BlChord    BlAFID    BlCb    BlCenBn    BlCenBt
 2.018357E+01  8.217842E-02  3.011882E-01 -6.908623E-01  5.011619E+00  3.526121E+00     21      0.0      0.0      0.0
 2.119275E+01  7.307100E-02  3.208158E-01 -7.718779E-01  4.690057E+00  3.488191E+00     22      0.0      0.0      0.0
 2.220193E+01  5.520538E-02  3.272604E-01 -1.038433E+00  4.442357E+00  3.428197E+00     23      0.0      0.0      0.0
 2.321111E+01  3.519745E-02  3.299799E-01 -1.322328E+00  4.203021E+00  3.362144E+00     24      0.0      0.0      0.0
 2.422029E+01  9.337880E-03  3.220700E-01 -1.628130E+00  3.977718E+00  3.278939E+00     25      0.0      0.0      0.0
 2.522946E+01 -2.205459E-02  3.076414E-01 -1.911687E+00  3.729386E+00  3.187845E+00     26      0.0      0.0      0.0
 2.623864E+01 -5.923771E-02  2.863906E-01 -2.171963E+00  3.456951E+00  3.088492E+00     27      0.0      0.0      0.0
 2.724782E+01 -9.983867E-02  2.722990E-01 -2.314937E+00  3.138150E+00  2.981481E+00     28      0.0      0.0      0.0
 2.825700E+01 -1.418631E-01  2.611891E-01 -2.409056E+00  2.800038E+00  2.871280E+00     29      0.0      0.0      0.0
 2.926618E+01 -1.848747E-01  2.485036E-01 -2.426351E+00  2.443192E+00  2.755888E+00     30      0.0      0.0      0.0
 3.027536E+01 -2.279143E-01  2.325998E-01 -2.428454E+00  2.090751E+00  2.639936E+00     31      0.0      0.0      0.0
 3.128454E+01 -2.706242E-01  1.978378E-01 -2.376727E+00  1.774713E+00  2.523194E+00     32      0.0      0.0      0.0
 3.229371E+01 -3.123084E-01  1.673664E-01 -2.314944E+00  1.485814E+00  2.407896E+00     33      0.0      0.0      0.0
 3.330289E+01 -3.521537E-01  1.445879E-01 -2.235128E+00  1.245574E+00  2.295187E+00     34      0.0      0.0      0.0
 3.431207E+01 -3.907826E-01  1.297230E-01 -2.212165E+00  1.014191E+00  2.187327E+00     35      0.0      0.0      0.0
 3.532125E+01 -4.285138E-01  1.206980E-01 -2.231159E+00  7.893427E-01  2.083044E+00     36      0.0      0.0      0.0
 3.633043E+01 -4.689905E-01  1.150156E-01 -2.366414E+00  5.372035E-01  1.988175E+00     37      0.0      0.0      0.0
 3.733961E+01 -5.107056E-01  1.106362E-01 -2.530210E+00  2.833227E-01  1.896574E+00     38      0.0      0.0      0.0
 3.834879E+01 -5.578274E-01  1.113608E-01 -2.750210E+00  5.209360E-02  1.816454E+00     39      0.0      0.0      0.0
 3.935796E+01 -6.080554E-01  1.128306E-01 -2.967917E+00 -1.516309E-01  1.741937E+00     40      0.0      0.0      0.0
 4.036714E+01 -6.620754E-01  1.152102E-01 -3.182824E+00 -3.217770E-01  1.674263E+00     41      0.0      0.0      0.0
 4.137632E+01 -7.205033E-01  1.219254E-01 -3.353556E+00 -5.075070E-01  1.613730E+00     42      0.0      0.0      0.0
 4.238550E+01 -7.807441E-01  1.285214E-01 -3.514177E+00 -6.939492E-01  1.556117E+00     43      0.0      0.0      0.0
 4.339468E+01 -8.438634E-01  1.282172E-01 -3.687168E+00 -8.614258E-01  1.503082E+00     44      0.0      0.0      0.0
 4.440386E+01 -9.103709E-01  1.200687E-01 -3.882330E+00 -1.030518E+00  1.451005E+00     45      0.0      0.0      0.0
 4.541304E+01 -9.799035E-01  1.057017E-01 -4.095201E+00 -1.200402E+00  1.399662E+00     46      0.0      0.0      0.0
 4.642221E+01 -1.054454E+00  9.680746E-02 -4.295510E+00 -1.358514E+00  1.347087E+00     47      0.0      0.0      0.0
 4.743139E+01 -1.131966E+00  8.572203E-02 -4.508518E+00 -1.523458E+00  1.292019E+00     48      0.0      0.0      0.0
 4.844057E+01 -1.212682E+00  7.461075E-02 -4.732593E+00 -1.687545E+00  1.233925E+00     49      0.0      0.0      0.0
 4.944975E+01 -1.298084E+00  6.924832E-02 -4.966260E+00 -1.830018E+00  1.170588E+00     50      0.0      0.0      0.0
 5.045893E+01 -1.387840E+00  6.393742E-02 -5.207250E+00 -1.988155E+00  1.099865E+00     51      0.0      0.0      0.0
 5.146811E+01 -1.481719E+00  6.205470E-02 -5.413890E+00 -2.149635E+00  1.021837E+00     52      0.0      0.0      0.0
 5.247729E+01 -1.578663E+00  6.208667E-02 -5.654894E+00 -2.311687E+00  9.346784E-01     53      0.0      0.0      0.0
 5.348646E+01 -1.680487E+00  6.149978E-02 -5.950446E+00 -2.474596E+00  8.371468E-01     54      0.0      0.0      0.0
 5.449564E+01 -1.787857E+00  5.940793E-02 -6.284674E+00 -2.639781E+00  7.275674E-01     55      0.0      0.0      0.0
 5.550482E+01 -1.901582E+00  5.494942E-02 -6.606915E+00 -2.805755E+00  6.055263E-01     56      0.0      0.0      0.0
 5.651400E+01 -1.995879E+00  5.372100E-02  0.000000E+00 -2.945255E+00  4.966270E-01     57      0.0      0.0      0.0
